"","date","copies_mL","site"
"1","2022-10-18",0.517768430515978,"BO"
"2","2022-11-15",1.05601047924158,"BO"
"3","2022-12-14",0.515703089376439,"BO"
"4","2022-02-16",0.458333333333333,"BO"
"5","2022-03-09",0.458333333333333,"BO"
"6","2022-04-20",0.458333333333333,"BO"
"7","2022-05-11",0.458333333333333,"BO"
"8","2022-05-20",0.458333333333333,"BO"
"9","2022-05-24",0.458333333333333,"BO"
"10","2022-06-14",1.41762329313791,"BO"
"11","2022-08-09",1.52777777777778,"BO"
"12","2022-09-13",0.686513589064744,"BO"
"13","2022-10-18",0.458333333333333,"C2"
"14","2022-11-15",0.458333333333333,"C2"
"15","2022-12-14",0.458333333333333,"C2"
"16","2022-02-16",0.458333333333333,"C2"
"17","2022-03-09",0.458333333333333,"C2"
"18","2022-04-20",0.458333333333333,"C2"
"19","2022-05-11",0.458333333333333,"C2"
"20","2022-05-20",0.458333333333333,"C2"
"21","2022-05-24",0.458333333333333,"C2"
"22","2022-06-14",0.458333333333333,"C2"
"23","2022-08-09",0.458333333333333,"C2"
"24","2022-09-13",0.458333333333333,"C2"
"25",NA,NA,"E3"
"26",NA,NA,"NT"
"27","2022-10-18",0.458333333333333,"RD"
"28","2022-11-15",0.458333333333333,"RD"
"29","2022-12-14",0.458333333333333,"RD"
"30","2022-02-16",0.458333333333333,"RD"
"31","2022-03-09",0.458333333333333,"RD"
"32","2022-04-20",0.458333333333333,"RD"
"33","2022-05-11",0.458333333333333,"RD"
"34","2022-05-20",0.458333333333333,"RD"
"35","2022-05-24",0.458333333333333,"RD"
"36","2022-06-14",0.458333333333333,"RD"
"37","2022-08-09",2.92794771950938,"RD"
"38","2022-09-13",0.458333333333333,"RD"
"39",NA,NA,NA
